$primary$,$original$,$status$
$_empty_entry_$,$_empty_entry_$,$curated$
$alabama$,$alabama$,$curated$
$alaska$,$alaska$,$curated$
$arkansas$,$ar$,$curated$
$arkansas$,$arkansas$,$curated$
$not_a_state$,$beaver$,$curated$
$not_a_state$,$beckham$,$curated$
$california$,$ca$,$curated$
$california$,$california$,$curated$
$colorado$,$co$,$curated$
$colorado$,$colorado$,$curated$
$colorado$,$colordao$,$curated$
$not_a_state$,$harper$,$curated$
$not_a_state$,$hemphill$,$curated$
$idaho$,$idaho$,$curated$
$illinois$,$illinois$,$curated$
$indiana$,$indiana$,$curated$
$iowa$,$iowa$,$curated$
$kansas$,$kansas$,$curated$
$kentucky$,$kentucky$,$curated$
$kansas$,$ks$,$curated$
$louisiana$,$la$,$curated$
$louisiana$,$loiusiana$,$curated$
$louisiana$,$louisiana$,$curated$
$louisiana$,$louisianna$,$curated$
$louisiana$,$lousiana$,$curated$
$maine$,$maine$,$curated$
$michigan$,$mi$,$curated$
$michigan$,$michigan$,$curated$
$not_a_state$,$midland$,$curated$
$minnesota$,$minnesota$,$curated$
$mississippi$,$mississippi$,$curated$
$missouri$,$missouri$,$curated$
$montana$,$montana$,$curated$
$mississippi$,$ms$,$curated$
$montana$,$mt$,$curated$
$north dakota$,$nd$,$curated$
$nebraska$,$nebraska$,$curated$
$nevada$,$nevada$,$curated$
$new mexcio$,$new mexcio$,$curated$
$new mexico$,$new mexico$,$curated$
$new york$,$new york$,$curated$
$new mexico$,$nm$,$curated$
$north dakota$,$norh dakota$,$curated$
$north dakota$,$norht dakota$,$curated$
$north dakota$,$north  dakota$,$curated$
$north dakota$,$north dakata$,$curated$
$north dakota$,$north dakota$,$curated$
$north dakota$,$north dakota ?$,$curated$
$north dakota$,$north dakotta$,$curated$
$north dakota$,$noth dakota$,$curated$
$ohio$,$oh$,$curated$
$ohio$,$ohio$,$curated$
$oklahoma$,$ok$,$curated$
$oklahoma$,$oklahoma$,$curated$
$oklahoma$,$oklahoma ?$,$curated$
$pennsylvania$,$pa$,$curated$
$pennsylvania$,$pennslvania$,$curated$
$pennsylvania$,$pennsylavania$,$curated$
$pennsylvania$,$pennsylvania$,$curated$
$pennsylvania$,$pennsylvanya$,$curated$
$pennsylvania$,$penssylvania$,$curated$
$not_a_state$,$red river$,$curated$
$not_a_state$,$roosevelt$,$curated$
$not_a_state$,$rusk$,$curated$
$south dakota$,$south dakota$,$curated$
$not_a_state$,$state$,$curated$
$tennessee$,$tennessee$,$curated$
$texas$,$texas$,$curated$
$texas$,$texas ?$,$curated$
$texas$,$texasa$,$curated$
$texas$,$texs$,$curated$
$texas$,$tx$,$curated$
$utah$,$ut$,$curated$
$utah$,$utah$,$curated$
$utah$,$utah ?$,$curated$
$virginia$,$virginia$,$curated$
$not_a_state$,$ward$,$curated$
$washington$,$washington$,$curated$
$west virginia$,$west viginia$,$curated$
$west virginia$,$west virginia$,$curated$
$west virginia$,$wv$,$curated$
$wyoming$,$wy$,$curated$
$wyoming$,$wyoming$,$curated$
$wyoming$,$wyominng$,$curated$
$not_a_state$,,$curated$
