"clean","proprietary","bad_format","multiple","non_cas","status","new_cnt"
"-0",,1,,1,"curated",
"0",,1,,1,"curated",1337
"0.0000032",,1,,1,"curated",
"0.00003",,1,,1,"curated",3
"0.00005",,1,,1,"curated",
"0.00006",,1,,1,"curated",2
"0.00009611",,1,,1,"curated",1
"0.00012",,1,,1,"curated",1
"0.00015",,1,,1,"curated",1
"0.0001601803",,1,,1,"curated",
"0.0001787557",,1,,1,"curated",
"0.00022426",,1,,1,"curated",1
"0.00026",,1,,1,"curated",2
"0.0002851513",,1,,1,"curated",
"0.00029",,1,,1,"curated",1
"0.00035",,1,,1,"curated",1
"0.00043",,1,,1,"curated",1
"0.00047",,1,,1,"curated",
"0.00113",,1,,1,"curated",1
"0.00131",,1,,1,"curated",1
"0.00174",,1,,1,"curated",1
"0.00183",,1,,1,"curated",1
"0.00232",,1,,1,"curated",1
"0.00244",,1,,1,"curated",1
"0.00322",,1,,1,"curated",1
"0.005",,1,,1,"curated",1
"0.00611",,1,,1,"curated",1
"0.00679",,1,,1,"curated",1
"0.00732",,1,,1,"curated",1
"0.00873",,1,,1,"curated",1
"0.00984",,1,,1,"curated",1
"0.01",,1,,1,"curated",3
"0.01391",,1,,1,"curated",1
"0.02",,1,,1,"curated",8
"0.03",,1,,1,"curated",6
"0.03212",,1,,1,"curated",1
"0.03246",,1,,1,"curated",1
"0.03518",,1,,1,"curated",1
"0.0365",,1,,1,"curated",
"0.04",,1,,1,"curated",1
"0.04617",,1,,1,"curated",1
"0.05",,1,,1,"curated",10
"0.05279",,1,,1,"curated",1
"0.07",,1,,1,"curated",1
"0.075",,1,,1,"curated",3
"0.08437",,1,,1,"curated",10
"0.08896828",,1,,1,"curated",
"0.09137",,1,,1,"curated",1
"0.09538",,1,,1,"curated",1
"0.1",,1,,1,"curated",17
"0.11444",,1,,1,"curated",1
"0.15",,1,,1,"curated",23
"0.16",,1,,1,"curated",1
"0.17",,1,,1,"curated",2
"0.2",,1,,1,"curated",7
"0.21097",,1,,1,"curated",1
"0.24",,1,,1,"curated",2
"0.25",,1,,1,"curated",10
"0.3",,1,,1,"curated",17
"0.35",,1,,1,"curated",2
"0.38",,1,,1,"curated",1
"0.4",,1,,1,"curated",10
