,APINumber,date,published,UploadKey
0,03029108310000,2011-04-05,2013-07-31 20:56:31.793845,SKY_pdf_29542_13
1,04030233840000,2012-05-04,2013-07-31 22:00:12.189026,SKY_pdf_32680_13
2,04030435970000,2011-10-02,2013-07-31 21:16:02.802370,SKY_pdf_24431_13
3,04030435980000,2011-09-27,2013-07-31 21:12:53.680069,SKY_pdf_24433_13
4,04030437640000,2011-10-22,2013-07-31 22:34:38.142505,SKY_pdf_24396_13
5,04030438230000,2011-09-18,2013-07-31 21:57:59.192271,SKY_pdf_24435_13
6,04030439420000,2011-08-25,2013-07-31 22:15:18.683180,SKY_pdf_24460_13
7,04030439480000,2011-09-26,2013-07-31 21:47:18.212775,SKY_pdf_24434_13
8,04030441430000,2011-11-05,2013-07-31 21:47:51.069535,SKY_pdf_24393_13
9,04030463660000,2012-05-08,2013-07-31 20:52:32.837491,SKY_pdf_32679_13
10,04030464570000,2012-11-04,2013-07-31 21:45:38.890181,SKY_pdf_36320_13
11,04030471570000,2012-10-28,2013-07-31 20:50:04.864504,SKY_pdf_36321_13
12,04030475960000,2012-08-08,2013-07-31 22:06:14.437179,SKY_pdf_23806_13
13,04030476800000,2012-09-21,2013-07-31 20:53:07.565597,SKY_pdf_32006_13
14,04037264210000,2012-01-05,2013-07-31 21:49:58.954546,SKY_pdf_24348_13
15,04037267200000,2011-09-15,2013-07-31 22:06:44.619086,SKY_pdf_24437_13
16,04111122150000,2012-10-12,2013-07-31 21:28:24.712336,SKY_pdf_36500_13
17,04111220940000,2012-07-05,2013-07-31 21:46:59.100787,SKY_pdf_30627_13
18,04111221450000,2012-07-02,2013-07-31 21:16:18.828022,SKY_pdf_30628_13
19,04111221460000,2012-06-28,2013-07-31 22:15:02.470048,SKY_pdf_30629_13
20,04111221530000,2012-10-07,2013-07-31 21:45:30.412114,SKY_pdf_36501_13
21,04111221550000,2012-10-24,2013-07-31 20:49:53.330848,SKY_pdf_36495_13
22,04111221560000,2012-10-21,2013-07-31 20:49:52.515468,SKY_pdf_36497_13
23,05001097400000,2012-07-03,2013-07-31 22:13:10.107665,SKY_pdf_36111_13
24,05001097450000,2012-07-12,2013-07-31 21:36:18.626666,SKY_pdf_24080_13
25,05001097450000,2012-08-08,2013-07-31 22:34:11.336901,SKY_pdf_23827_13
26,05005069580000,2012-09-07,2013-07-31 21:49:45.087164,SKY_pdf_30083_13
27,05005071650000,2012-09-05,2013-07-31 22:17:28.198642,SKY_pdf_30768_13
28,05005071670000,2011-11-18,2013-07-31 22:34:58.366017,SKY_pdf_26167_13
29,05005071780000,2012-08-06,2013-07-31 22:15:13.069308,SKY_pdf_23831_13
30,05013065470000,2010-12-09,2013-07-31 21:00:36.303753,SKY_pdf_29029_13
31,05013065810000,2011-05-09,2013-07-31 21:34:51.140159,SKY_pdf_27647_13
32,05013065910000,2011-05-03,2013-07-31 21:00:34.855555,SKY_pdf_27673_13
33,05013065920000,2011-05-03,2013-07-31 21:34:42.979321,SKY_pdf_27672_13
34,05013066270000,2012-07-31,2013-07-31 21:46:49.978050,SKY_pdf_30791_13
35,05013066290000,2012-08-03,2013-07-31 21:11:25.436972,SKY_pdf_30788_13
36,05013066300000,2012-08-03,2013-07-31 21:11:26.222036,SKY_pdf_30787_13
37,05013066310000,2012-07-31,2013-07-31 22:32:53.538779,SKY_pdf_30792_13
38,05013066320000,2012-08-06,2013-07-31 21:11:42.552934,SKY_pdf_30784_13
39,05013066330000,2012-08-05,2013-07-31 21:11:26.964838,SKY_pdf_30786_13
40,05013066340000,2012-08-05,2013-07-31 22:14:52.958606,SKY_pdf_30785_13
