"API_StateNumber","StateName","API_CountyNumber","CountyName"
1,"ALABAMA",1,"AUTAUGA"
1,"ALABAMA",3,"BALDWIN"
1,"ALABAMA",5,"BARBOUR"
1,"ALABAMA",7,"BIBB"
1,"ALABAMA",9,"BLOUNT"
1,"ALABAMA",11,"BULLOCK"
1,"ALABAMA",13,"BUTLER"
1,"ALABAMA",15,"CALHOUN"
1,"ALABAMA",17,"CHAMBERS"
1,"ALABAMA",19,"CHEROKEE"
1,"ALABAMA",21,"CHILTON"
1,"ALABAMA",23,"CHOCTAW"
1,"ALABAMA",25,"CLARKE"
1,"ALABAMA",27,"CLAY"
1,"ALABAMA",29,"CLEBURNE"
1,"ALABAMA",31,"COFFEE"
1,"ALABAMA",33,"COLBERT"
1,"ALABAMA",35,"CONECUH"
1,"ALABAMA",37,"COOSA"
1,"ALABAMA",39,"COVINGTON"
1,"ALABAMA",41,"CRENSHAW"
1,"ALABAMA",43,"CULLMAN"
1,"ALABAMA",45,"DALE"
1,"ALABAMA",47,"DALLAS"
1,"ALABAMA",49,"DEKALB"
1,"ALABAMA",51,"ELMORE"
1,"ALABAMA",53,"ESCAMBIA"
1,"ALABAMA",55,"ETOWAH"
1,"ALABAMA",57,"FAYETTE"
1,"ALABAMA",59,"FRANKLIN"
1,"ALABAMA",61,"GENEVA"
1,"ALABAMA",63,"GREENE"
1,"ALABAMA",65,"HALE"
1,"ALABAMA",67,"HENRY"
1,"ALABAMA",69,"HOUSTON"
1,"ALABAMA",71,"JACKSON"
1,"ALABAMA",73,"JEFFERSON"
1,"ALABAMA",75,"LAMAR"
1,"ALABAMA",77,"LAUDERDALE"
1,"ALABAMA",79,"LAWRENCE"
1,"ALABAMA",81,"LEE"
1,"ALABAMA",83,"LIMESTONE"
1,"ALABAMA",85,"LOWNDES"
1,"ALABAMA",87,"MACON"
1,"ALABAMA",89,"MADISON"
1,"ALABAMA",91,"MARENGO"
1,"ALABAMA",93,"MARION"
1,"ALABAMA",95,"MARSHALL"
1,"ALABAMA",97,"MOBILE"
1,"ALABAMA",99,"MONROE"
1,"ALABAMA",101,"MONTGOMERY"
1,"ALABAMA",103,"MORGAN"
1,"ALABAMA",105,"PERRY"
1,"ALABAMA",107,"PICKENS"
1,"ALABAMA",109,"PIKE"
1,"ALABAMA",111,"RANDOLPH"
1,"ALABAMA",113,"RUSSELL"
1,"ALABAMA",115,"ST. CLAIR"
1,"ALABAMA",117,"SHELBY"
1,"ALABAMA",119,"SUMTER"
1,"ALABAMA",121,"TALLADEGA"
1,"ALABAMA",123,"TALLAPOOSA"
1,"ALABAMA",125,"TUSCALOOSA"
1,"ALABAMA",127,"WALKER"
1,"ALABAMA",129,"WASHINGTON"
1,"ALABAMA",131,"WILCOX"
1,"ALABAMA",133,"WINSTON"
1,"ALABAMA",203,"BALDWIN OFFSHORE"
